epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.586,1.65955,2.94608,1.54449,0.53985,0.30093,0.23822,0.136,1.48844,2.92781,1.52361,0.000234281,0.000234281,0.000234281
2,98.4427,1.55372,2.09887,1.43884,0.21524,0.25553,0.11438,0.05958,1.60576,4.13258,1.64148,0.000425525,0.000425525,0.000425525
3,133.145,1.58318,2.04164,1.48124,0.43839,0.22136,0.14554,0.07212,1.65412,2.69329,1.70812,0.000569646,0.000569646,0.000569646
4,167.665,1.56914,1.94856,1.4588,0.43887,0.27059,0.22197,0.12259,1.49332,2.1006,1.53601,0.000501942,0.000501942,0.000501942
5,204.94,1.502,1.7928,1.43452,0.53039,0.29804,0.24288,0.13089,1.4807,2.08773,1.51388,0.000431256,0.000431256,0.000431256
6,246.76,1.465,1.60329,1.39875,0.62362,0.30054,0.28752,0.16495,1.43487,1.62072,1.44358,0.00036057,0.00036057,0.00036057
7,281.188,1.42353,1.52344,1.37371,0.64827,0.28452,0.29961,0.17225,1.40983,1.55853,1.48057,0.000289884,0.000289884,0.000289884
8,317.639,1.3824,1.38166,1.33528,0.55109,0.30867,0.37011,0.21118,1.42121,1.44693,1.46457,0.000219198,0.000219198,0.000219198
9,354.856,1.3276,1.28728,1.3051,0.60361,0.32134,0.36738,0.21902,1.35891,1.36323,1.41268,0.000148512,0.000148512,0.000148512
10,399.94,1.28172,1.16556,1.26427,0.58375,0.35067,0.3815,0.22522,1.32639,1.33658,1.40558,7.7826e-05,7.7826e-05,7.7826e-05
